country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,187,626,324,300,377,456,368,427,344,244,335,246,306,133,−85,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1.99,3.94,1.89,4,4.94,5.64,5.2,4.1,2.85,2.6,2.57,4.03,4.89,4.81,4.12,5.51,5.65,6.52,5.76,7.64,2.29,2.06,0.965,1.35,0.655,1.55,0.254,4.51,7.08,14,11.5,47.3,17,16,14.6,12.9,9.92,13,8.88,7.42,6.96,20.8,58.3,67.9,96.3,115,114,175,176,211,221,231,219,163,151,127,117,107,103,110,108,117,94.7
Angola,−0.00933,4.33,,0.00536,,0.194,0.494,3.12,0.0017,−0.0186,−0.00498,0,0.0141,0.0243,0.0544,0.677,2.41,6.32,6.03,5.85,6.3,6.98,6.6,7.96,9.71,9.08,12.6,12.6,14.2,14.6,22.5,22.7,27.2,22.2,33.2,29.9,31.9,23.8,21.8,24.4,18.4,16.7,23.6,27.2,61,21.3,8.11,10.5,16,9.71,10.1,7.95,9.67,10.9,8.68,13.5,7.08,7.39,5.2,0.647,3.33,7.16,2.74
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,3.2,3.36,102,126,83.9,50.8,56.7,71.5,53.4,85.9,157,103,87.7,101,115,99.4,105,108,89.5,117,113,125,131,120,93.3,97.3,116,59.5,58.6,120,9.48,109,225,114
UAE,3.07,3.83,2.89,2.48,3.51,0.115,7.12,8.2,5.29,3.44,17.7,16.3,11.9,1.72,1.2,7.45,1.69,49.3,2.1,7.74,4.02,0.3,4.02,3.48,2.54,2.94,23.3,72.8,−7.11,−3.31,1.86,−3.81,−4.6,−4.57,−3.45,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2.16,2.65,2.62,1.3,−0.244,−2.59,−0.414,0.395,0.118,0.749,−0.102,0.206,0.0768,0.542,0.627,0.464,0.536,0.614,0.617,1.02,1.56,1.29,1.02,1.17,1.1,1.29,2.4,2.67,4.5,6.27,5.26,8.39,7.95,7.23,4.67,4.24,3.46,2.77,2.04,2.25,2.01,4.21,2.61,3.08,2.52,2.4,2.89,2.26,3.1,2.85,3.19,2.35,4.26,0.823,1.14,−0.437,0.0601,−0.0266,1.65,0.198,2.24,3.39,8.31
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752,6.28,31.7,56.7,65.5,88.6,50.8,59.9,65.3,68.1,67.5,95.1,81.2,83.5,56.6,71.2,88.6,76.2,93.5,109,128,92.8,96.6,92.5,121,114,90.3,50,148,45.1,58,108
Antigua and Barbuda,,,,,,,,,,,,,,0.155,46.7,32.2,48.6,83.9,56,50.8,84.8,139,75.9,51.5,36.1,45.4,78,86.4,132,68.2,72.8,114,72.2,45.6,62,33.2,55.4,61.1,138,147,132,113,175,72.1,24.1,101,40.5,60.8,72.9,50.4,229,178,23.8,18,28.6,16.6,1.99,113,192,298,280,65.9,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0413,1.01,3.18,19.6,15.6,12.4,23.5,15.2,21.4,17.5,28.5,42.9,36.7,21.2,25.1,24,18.8,21,19.9,17.3,31.4,30.9,−7.52,22.7,7.21,8.14,12.5,8.79,11.9,12.2,0.963,4.65
Burundi,2.74,2.55,3.83,2.09,2.67,1.56,2.8,3.18,3.87,4.36,5.05,6.05,7.2,7.52,10.2,12.7,11.4,12.1,18.3,22.8,26.9,26.9,27.2,29.1,28.4,27.7,37.9,38.1,38,38.4,47.9,45.8,53.9,39.1,55.7,48.4,18.6,9.52,11.4,12.2,14.8,21.5,25.9,33.2,50.4,49.5,56.4,49.9,55,59.1,68.8,60.5,53.5,55.1,49.1,34.2,68.1,39.1,39.3,46.7,39.4,48.5,44.7
