country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,39.8M,98.5M,42.4M,37.7M,50.3M,52.4M,43.5M,47.9M,41.2M,29M,35.5M,28M,40.3M,18M,−12.1M,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,126M,250M,122M,256M,320M,371M,337M,268M,185M,168M,178M,262M,301M,271M,218M,265M,270M,294M,231M,271M,72.3M,59M,27.1M,40M,19.7M,45.9M,6.43M,93.5M,138M,273M,210M,804M,323M,359M,355M,293M,236M,357M,257M,226M,233M,737M,1.93B,2.12B,2.88B,3.56B,3.54B,5.14B,5.12B,6.57B,6.88B,7.1B,6.97B,5.35B,5.18B,4.82B,4.61B,4.25B,4.07B,4.51B,4.48B,4.69B,3.96B
Angola,−430k,298M,,230k,,13.8M,32M,195M,60k,−1.18M,−470k,−100k,710k,1.07M,1.81M,19.2M,64.8M,168M,136M,116M,122M,151M,161M,211M,278M,263M,301M,259M,288M,311M,427M,433M,493M,466M,689M,591M,653M,551M,522M,602M,493M,478M,647M,678M,1.44B,503M,201M,240M,357M,241M,251M,203M,258M,295M,243M,426M,234M,248M,173M,21.3M,118M,247M,96.6M
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1M,19M,17.2M,480M,593M,429M,239M,241M,313M,246M,402M,743M,524M,452M,484M,467M,374M,377M,380M,281M,337M,330M,375M,367M,356M,270M,277M,351M,190M,185M,366M,29.4M,327M,633M,339M
UAE,4.95M,6.3M,4.83M,4.33M,5.46M,130k,12.5M,14.9M,11.8M,8.49M,35.8M,35.6M,26.8M,3.95M,2.72M,16M,3.82M,123M,4.71M,17.9M,9.75M,−880k,12M,11.2M,9.11M,10.8M,78.4M,218M,−23.3M,−12.4M,5.11M,−14.4M,−14.4M,−15.4M,−12.3M,5.56M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,234M,380M,368M,243M,−41.2M,−480M,−124M,62.1M,−43.6M,54.7M,−34.6M,32.5M,8.96M,67.1M,70.5M,47.3M,55M,56M,47M,70.4M,103M,95.6M,82.3M,96.1M,93M,112M,157M,148M,244M,353M,259M,400M,360M,375M,239M,176M,161M,139M,101M,102M,92.5M,268M,163M,162M,118M,111M,131M,96.6M,124M,117M,127M,96.7M,185M,37.1M,49.9M,−20.6M,4.84M,600k,81.5M,12.7M,108M,155M,407M
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6M,38.1M,182M,305M,307M,420M,245M,291M,314M,332M,336M,451M,345M,328M,215M,260M,298M,247M,284M,336M,394M,285M,288M,271M,398M,376M,288M,150M,455M,134M,162M,323M
Antigua and Barbuda,,,,,,,,,,,,,,50k,17.8M,9.86M,13.6M,20.8M,12.9M,10.4M,14.3M,23.7M,12.9M,8.92M,6.36M,7.41M,11.4M,11.7M,16.3M,8M,7.61M,11.3M,7.42M,4.98M,6.47M,3.13M,5.36M,6.26M,13.1M,12.1M,14.5M,11.7M,16.7M,6.64M,1.95M,8.64M,3.53M,5.31M,5.6M,4.45M,18.9M,12.9M,1.94M,1.6M,2.57M,1.65M,−530k,11.4M,18.8M,29.9M,27.6M,6.14M,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310k,10.2M,36M,230M,160M,134M,270M,177M,251M,199M,312M,475M,388M,217M,248M,232M,168M,182M,183M,165M,258M,250M,−84.7M,206M,75.8M,79.3M,131M,89.4M,129M,131M,9.76M,47.5M
Burundi,81.2M,76.9M,110M,60.4M,76.4M,44.3M,74.8M,86.1M,104M,116M,132M,149M,159M,143M,175M,188M,174M,165M,220M,249M,281M,328M,347M,389M,400M,405M,437M,374M,361M,379M,425M,402M,457M,332M,453M,381M,154M,87.1M,109M,120M,156M,248M,279M,319M,452M,450M,509M,425M,460M,540M,662M,573M,541M,568M,524M,423M,847M,489M,484M,605M,511M,608M,600M
Benin,200k,12M,31.6M,36.5M,148M,143M,118M,127M,102M,96.4M,108M,195M,118M,137M,153M,214M,201M,175M,190M,233M,218M,216M,219M,238M,221M,276M,305M,255M,285M,491M,428M,413M,421M,429M,368M,364M,374M,328M,297M,317M,409M,470M,357M,414M,487M,425M,474M,448M,549M,611M,738M,703M,529M,670M,611M,500M,573M,760M,616M,647M,1.11B,850M,874M
Burkina Faso,1.74M,14.6M,42.6M,38.8M,129M,143M,136M,145M,168M,172M,156M,190M,200M,295M,454M,347M,304M,393M,484M,532M,512M,572M,578M,499M,518M,519M,613M,517M,530M,498M,523M,666M,638M,720M,641M,647M,565M,559M,606M,604M,330M,660M,714M,744M,808M,851M,1.06B,829M,824M,895M,1.1B,973M,1.19B,1.07B,1.16B,1.14B,1.18B,1B,1.27B,1.22B,1.84B,1.61B,1.45B
Bangladesh,,,,,,,,,,,,131M,1.26B,2.08B,2.39B,4.23B,1.89B,2.76B,2.99B,3.06B,3.07B,2.72B,3.42B,2.58B,2.96B,2.61B,2.76B,2.98B,2.36B,2.54B,2.81B,2.52B,2.21B,1.74B,1.98B,1.31B,1.29B,1.26B,1.44B,1.47B,1.45B,1.45B,1.22B,1.72B,1.75B,1.51B,1.2B,928M,1.17B,1.06B,1.43B,1.44B,2.15B,2.66B,2.46B,2.92B,2.83B,4.12B,3.21B,4.69B,5.53B,5.09B,5.74B
Bahrain,1.19M,11M,15.2M,7.1M,6.23M,8.91M,72.9M,480k,2.14M,1.31M,6.98M,30M,17M,71.8M,171M,103M,625M,171M,260M,370M,516M,508M,410M,671M,566M,197M,218M,16.4M,−4.93M,−4.57M,219M,145M,116M,167M,136M,127M,178M,217M,294M,89.2M,90.3M,112M,94M,178M,72.5M,,,,,,,,,,,,,,,,,,
Bahamas,−480k,,,160k,610k,680k,460k,5.04M,490k,630k,580k,1.82M,8.46M,2.46M,2.43M,2.75M,2.38M,1.7M,2.58M,2.51M,3.55M,3.62M,3.58M,2.42M,25.8M,1.94M,3.83M,1.26M,2.59M,7.55M,5.1M,4.33M,4.18M,1.73M,1.41M,6.15M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20k,20k,20k,18.6M,104M,650M,1.3B,1.21B,1.32B,1.4B,1.97B,1.26B,1.09B,889M,734M,853M,652M,625M,586M,441M,406M,533M,612M,584M,516M,616M,399M,500M,488M,377M,495M,465M,564M,295M
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2M,90.2M,93.3M,111M,106M,148M,118M,108M,109M,120M,121M,−23.6M,−280M,127M,232M,346M,140M,11.7M
Belize,21.9M,32.5M,57.2M,44.8M,11.9M,19.6M,23M,53.6M,54.7M,64.8M,51.8M,39.4M,27.4M,30.2M,35.3M,40.6M,55.6M,39.8M,65M,66.4M,36.2M,29.1M,32.4M,38.6M,38.5M,54.2M,55.1M,49.7M,48.2M,53.4M,52M,36.4M,40.9M,50.2M,49.9M,26.8M,30.5M,20.1M,21.2M,66M,26.1M,36.2M,34.5M,17.2M,8.24M,13.6M,8.86M,23.5M,23.7M,27.7M,24.1M,20.8M,27.1M,53.7M,37.9M,32.2M,40M,38.2M,36.2M,38.8M,73.7M,77.3M,20.8M
Bermuda,,,,,110k,510k,560k,570k,380k,100k,90k,,70k,,190k,100k,170k,330k,510k,420k,700k,540k,180k,200k,230k,3.16M,210k,470k,70k,200k,66.8M,−7.45M,−7.04M,−6.92M,−17.3M,−2.46M,−5.07M,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,95.7M,166M,232M,337M,261M,241M,202M,195M,258M,205M,184M,184M,250M,119M,242M,190M,213M,242M,352M,339M,350M,317M,279M,386M,348M,416M,554M,531M,741M,846M,770M,747M,964M,829M,771M,885M,1.02B,931M,832M,775M,678M,1.1B,944M,1.05B,877M,673M,960M,491M,586M,608M,582M,537M,682M,709M,684M,899M,796M,1.06B,780M,776M,360M,507M,357M
Brazil,284M,2.11B,1.31B,1.4B,1.63B,1.71B,2.17B,1.1B,1.28B,765M,785M,644M,510M,317M,577M,523M,354M,224M,229M,209M,181M,577M,474M,295M,427M,269M,313M,506M,357M,349M,251M,291M,−481M,241M,331M,298M,321M,314M,347M,129M,313M,385M,326M,278M,199M,253M,123M,344M,463M,402M,512M,795M,1.35B,1.04B,902M,1.17B,793M,314M,477M,305M,647M,1.11B,602M
Barbados,,,,,,,14.4M,4.75M,7.25M,10.9M,18.4M,33.6M,31M,25.8M,17.6M,17.7M,21.7M,17.1M,30.3M,19.5M,17.9M,27.4M,22.7M,40.1M,14.7M,16.3M,10.8M,10.1M,3.52M,1.88M,3.53M,3.58M,1.72M,8.01M,4.28M,460k,7.7M,8.74M,26M,−1.01M,3.2M,−280k,7.28M,28.9M,36.9M,−820k,−640k,19.8M,9.32M,12.2M,15.9M,,,,,,,,,,,,
Brunei,80k,4.01M,5.86M,310k,570k,650k,660k,550k,240k,230k,90k,330k,130k,830k,870k,730k,510k,300k,290k,250k,80k,410k,630k,1M,1.89M,3.33M,4.22M,4.63M,5.7M,5.82M,5.16M,4.46M,6.13M,4.99M,4.81M,3.39M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,110k,100k,1.65M,490k,100k,1.28M,840k,1.8M,1.08M,1.28M,3.18M,2.81M,8.87M,13.5M,10.9M,9.87M,13.9M,20.8M,25.8M,29.9M,33.7M,45.8M,58.4M,81.9M,69.8M,62.7M,65.1M,66M,84.4M,75.8M,85.2M,92.6M,81.9M,74.9M,83.6M,80.3M,94.9M,77.2M,89.8M,91.6M,96.8M,88.7M,93.7M,108M,65.5M,68.3M,69.8M,91.9M,110M,153M,136M,131M,110M,56.2M,130M,115M,193M,214M,127M,209M
Botswana,41.4M,63.6M,58.8M,59M,95M,102M,158M,166M,164M,126M,108M,129M,182M,182M,175M,208M,189M,172M,222M,277M,263M,251M,270M,284M,291M,272M,239M,318M,270M,292M,241M,216M,174M,209M,133M,127M,96.2M,181M,147M,86.6M,47.5M,45.5M,57.7M,39.4M,62M,61.6M,81.4M,121M,794M,340M,173M,134M,81.8M,119M,107M,74.5M,101M,113M,91.9M,72.4M,82.5M,96.4M,88.5M
Central African Republic,320k,4.39M,11.4M,20.2M,150M,130M,123M,155M,129M,141M,103M,102M,150M,130M,174M,210M,149M,157M,152M,215M,251M,260M,240M,259M,382M,299M,293M,336M,360M,339M,391M,264M,248M,248M,238M,190M,211M,125M,173M,170M,109M,121M,89.3M,68.8M,136M,109M,158M,191M,256M,224M,277M,259M,234M,206M,617M,558M,580M,574M,688M,741M,884M,659M,701M
