country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18M,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,3M,0,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
UAE,,,,,,,,,,,,,,,8M,,,,,,,,,14M,,,22M,1M,,,2M,,,,,28M,6M,37M,,,,,,,3M,11M,17M,3M,,34M,39M,3M,70M,108M,87M,142M,95M,101M,114M,128M,191M,57M,12M
Argentina,,,6M,,4M,,,0,8M,,0,,11M,,,,1M,,,8M,1M,27M,3M,1M,,,,4M,0,,6M,0,,13M,5M,5M,,,,,2M,,2M,,,,2M,,,,,1M,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,,,,,,,,,,,,,,
Australia,,2M,4M,,,,,,,26M,17M,36M,6M,72M,92M,131M,113M,62M,21M,22M,15M,17M,26M,31M,62M,10M,57M,89M,18M,18M,168M,90M,,30M,36M,36M,16M,20M,4M,,,43M,47M,44M,2M,49M,26M,52M,56M,84M,137M,143M,45M,54M,97M,87M,135M,100M,39M,104M,413M,188M,33M
Austria,,,,,0,0,1M,1M,1M,1M,1M,1M,1M,1M,0,0,,,37M,126M,54M,70M,61M,58M,60M,248M,40M,30M,12M,12M,30M,20M,20M,10M,17M,,18M,1M,29M,23M,23M,17M,83M,2M,3M,3M,62M,99M,15M,44M,53M,52M,23M,28M,16M,10M,17M,22M,7M,3M,9M,23M,14M
Belgium,3M,0,2M,0,0,,12M,,,5M,,0,,,,,,,2M,3M,1M,19M,41M,89M,115M,3M,19M,,18M,36M,1M,1M,,,39M,161M,61M,93M,46M,62M,46M,37M,34M,15M,47M,160M,59M,32M,223M,243M,12M,111M,22M,55M,10M,12M,7M,17M,21M,57M,27M,92M,121M
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4M,,,106M,,,5M,6M,42M,16M,28M,55M,1M,21M,6M,39M,167M,2M,10M,37M,44M,19M,87M,5M,9M,4M,16M,4M,2M,13M,21M,14M,70M,61M,31M,14M,10M,3M,7M,18M
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9M,,,,,,,,,14M,,3M,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8M,,7M,129M,402M,63M,452M,293M,49M,63M,57M,19M,53M,43M,6M,224M,41M,161M,98M,97M,269M,101M,142M,151M,50M,78M,159M,59M,98M,57M
Brazil,2M,12M,,,,,,,,18M,,0,,,32M,58M,104M,144M,183M,73M,159M,68M,123M,200M,275M,207M,138M,216M,206M,53M,106M,127M,98M,40M,54M,38M,27M,27M,18M,,,,20M,,46M,1M,44M,53M,92M,43M,143M,31M,33M,30M,30M,51M,121M,36M,100M,10M,162M,84M,6M
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24M,,,,,12M,,,,,,
Canada,67M,300M,188M,213M,253M,111M,92M,58M,193M,163M,188M,285M,318M,113M,113M,82M,259M,138M,179M,167M,136M,109M,240M,99M,78M,84M,237M,246M,125M,34M,79M,93M,139M,144M,164M,254M,146M,96M,37M,78M,67M,112M,159M,306M,309M,218M,216M,314M,219M,165M,219M,291M,248M,160M,173M,321M,94M,63M,115M,221M,110M,118M,171M
Switzerland,435M,493M,524M,337M,379M,484M,367M,262M,91M,105M,18M,42M,34M,54M,89M,395M,480M,260M,196M,455M,533M,554M,411M,331M,528M,347M,345M,312M,370M,319M,468M,497M,452M,235M,176M,146M,195M,126M,214M,282M,186M,221M,178M,198M,279M,266M,310M,308M,471M,238M,260M,326M,235M,194M,337M,482M,217M,175M,243M,215M,174M,118M,175M
Chile,,,,,,,,,,,,,,,,0,,,0,,0,0,,1M,,,3M,3M,4M,4M,,3M,8M,,,,29M,,2M,1M,1M,,1M,,,,,,100M,,,,,,20M,,,,0,,,,
