country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04B,1.21B,1.43B,1.61B,1.67B,1.8B,1.91B,2.05B,2.22B,2.27B,2.3B,2.46B,2.51B,2.54B,2.74B,2.85B,2.82B,2.85B,3.06B,3.05B,3.09B,3.18B,3.24B,2.86B,2.78B,2.88B,2.85B,3.03B,2.98B,2.96B,3.01B,3.23B,3.3B,3.23B,2.45B,3.13B,3.46B,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21B,5.62B,7.23B,7.87B,7.98B,8.87B,9.35B,10.6B,11.1B,13.4B,15.4B,15.4B,17.4B,18.4B,18.9B,19.1B,19.6B,20.1B,20.3B,21.1B,20.6B,16.3B,15.3B,
Angola,,,,,,,,,,,,,,,,,,,,,23.1B,22B,22B,23B,24.4B,25.2B,25.9B,27B,28.6B,28.7B,27.7B,27.9B,26.3B,20B,20.3B,23.3B,26.5B,28.4B,29.7B,30.4B,31.3B,32.6B,37.1B,38.2B,42.4B,48.7B,54.4B,62B,68.9B,69.5B,72.6B,75.1B,81.5B,85.5B,89.7B,90.5B,88.2B,88B,86.9B,86.3B,81.4B,82.4B,84.9B,85.6B
Albania,,,,,,,,,,,,,,,,,,,,,4.65B,4.92B,5.06B,5.12B,5.05B,5.14B,5.43B,5.39B,5.32B,5.84B,5.28B,3.8B,3.53B,3.86B,4.19B,4.74B,5.18B,4.61B,5.02B,5.66B,6.06B,6.56B,6.86B,7.24B,7.64B,8.06B,8.53B,9.04B,9.72B,10B,10.4B,10.7B,10.8B,10.9B,11.1B,11.4B,11.8B,12.2B,12.7B,13B,12.5B,13.7B,14.3B,14.8B
Andorra,,,,,,,,,,,859M,899M,972M,1.05B,1.11B,1.11B,1.15B,1.18B,1.2B,1.2B,1.23B,1.23B,1.24B,1.26B,1.28B,1.31B,1.36B,1.43B,1.51B,1.58B,1.64B,1.68B,1.7B,1.68B,1.72B,1.77B,1.85B,2.01B,2.08B,2.16B,2.24B,2.42B,2.53B,2.75B,2.98B,3.14B,3.29B,3.34B,3.15B,2.99B,2.93B,2.93B,2.78B,2.68B,2.75B,2.79B,2.89B,2.9B,2.95B,3.01B,2.67B,2.89B,3.17B,3.22B
UAE,,,,,,,,,,,14.1B,19.2B,26.7B,47.2B,54.1B,57.4B,66.9B,81.3B,80B,96.7B,120B,125B,117B,111B,116B,112B,95B,98.2B,95.6B,107B,127B,128B,133B,134B,143B,153B,162B,175B,176B,181B,200B,203B,208B,226B,248B,260B,286B,295B,304B,288B,293B,311B,317B,333B,347B,370B,391B,394B,399B,403B,383B,400B,431B,446B
Argentina,151B,159B,158B,149B,164B,182B,181B,186B,195B,214B,221B,233B,237B,244B,257B,257B,252B,269B,257B,284B,288B,273B,271B,283B,287B,272B,289B,297B,294B,273B,266B,290B,313B,339B,359B,348B,368B,397B,413B,399B,396B,378B,337B,367B,400B,435B,470B,513B,533B,502B,553B,586B,580B,594B,579B,595B,582B,599B,583B,571B,515B,570B,598B,589B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84B,5.16B,3B,2.74B,2.88B,3.08B,3.26B,3.37B,3.62B,3.74B,3.96B,4.34B,4.91B,5.6B,6.19B,7.05B,7.98B,9.07B,9.7B,8.33B,8.51B,8.91B,9.56B,9.87B,10.2B,10.6B,10.6B,11.4B,12B,12.9B,11.9B,12.6B,14.2B,15.5B
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745M,752M,755M,752M,721M,735M,715M,685M,687M,687M,658M,641M,652M,673M,662M,615M,632M,629M,657M,651M,663M,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,387M,404M,437M,472M,490M,490M,516M,569M,612M,683M,728M,766M,806M,830M,848M,858M,903M,964M,922M,983M,1.04B,1.09B,1.13B,1.2B,1.14B,1.15B,1.22B,1.29B,1.38B,1.55B,1.7B,1.7B,1.49B,1.38B,1.35B,1.39B,1.39B,1.42B,1.44B,1.5B,1.53B,1.64B,1.69B,1.37B,1.48B,1.63B,1.69B
